data_type,continent,country,demographic,signup_date,day,time_period,job_category,posting_date,region,job_type,skill,demo_type,request_date,event_type,query_date,query_type
demographic data,Australia,Australia,Individual,2023/05/05,Wednesday,Evening (6PM-12AM),Sales,2023/12/11,Australia,Full-Time,C++,Academic,2023/12/01,promotional event data,2023/11/06,category query
demographic data,Asia,India,Enterprise,2024/12/03,Saturday,Evening (6PM-12AM),Customer Support,2023/10/26,North America,Part-Time,C++,Individual,2023/10/14,assistant data,2023/08/21,job search
user data,South America,Argentina,Enterprise,2024/05/13,Saturday,Afternoon (12PM-6PM),Design,2024/09/08,Africa,Part-Time,C++,Individual,2024/10/16,job posting data,2024/09/10,category query
job posting data,Africa,Nigeria,Small Business,2023/02/04,Saturday,Afternoon (12PM-6PM),Design,2023/08/26,Europe,Full-Time,Excel,Academic,2024/04/21,assistant data,2023/06/11,job search
promotional event data,Africa,Kenya,Academic,2023/05/15,Friday,Evening (6PM-12AM),Customer Support,2024/03/12,North America,Internship,SQL,Individual,2023/09/05,job posting data,2024/06/30,job search
assistant data,Africa,Nigeria,Startup,2024/11/16,Tuesday,Night (12AM-6AM),Engineering,2023/01/16,South America,Internship,JavaScript,Enterprise,2023/10/07,promotional event data,2023/09/24,job search
assistant data,Australia,Australia,Academic,2023/03/12,Friday,Evening (6PM-12AM),Engineering,2024/03/20,Asia,Part-Time,Python,Individual,2024/08/28,promotional event data,2024/05/12,job search
demographic data,Africa,Kenya,Individual,2023/04/17,Tuesday,Morning (6AM-12PM),Product Management,2024/01/21,North America,Part-Time,Python,Enterprise,2024/02/18,job posting data,2024/12/01,category query
demographic data,North America,Mexico,Enterprise,2024/08/06,Friday,Evening (6PM-12AM),Engineering,2024/03/24,Europe,Contract,SQL,Individual,2024/10/12,promotional event data,2023/03/29,category query
user data,Africa,Kenya,Startup,2023/12/19,Tuesday,Evening (6PM-12AM),Customer Support,2024/07/07,Australia,Internship,SQL,Individual,2024/02/06,job posting data,2024/01/03,region search
demographic data,Europe,Germany,Startup,2023/09/08,Monday,Afternoon (12PM-6PM),Customer Support,2023/01/13,Asia,Part-Time,C++,Enterprise,2024/12/25,promotional event data,2024/09/06,category query
promotional event data,Asia,China,Academic,2023/06/03,Wednesday,Night (12AM-6AM),Design,2024/10/22,Australia,Full-Time,SQL,Academic,2024/08/18,promotional event data,2024/12/26,region search
job type data,South America,Chile,Startup,2023/12/19,Friday,Morning (6AM-12PM),Sales,2023/08/13,Europe,Part-Time,JavaScript,Small Business,2023/11/29,assistant data,2023/07/14,job search
user data,Africa,Nigeria,Enterprise,2024/01/08,Sunday,Evening (6PM-12AM),Marketing,2023/07/23,Asia,Internship,Java,Individual,2023/03/24,assistant data,2023/10/22,region search
promotional event data,North America,Canada,Startup,2024/12/01,Sunday,Morning (6AM-12PM),Sales,2024/03/15,Africa,Part-Time,C++,Academic,2024/07/20,job posting data,2023/12/15,region search
assistant data,Australia,Australia,Small Business,2023/12/27,Saturday,Afternoon (12PM-6PM),Marketing,2024/05/29,Africa,Contract,JavaScript,Academic,2023/09/06,job posting data,2024/11/19,category query
demographic data,North America,USA,Small Business,2023/04/09,Saturday,Evening (6PM-12AM),Engineering,2024/06/26,Australia,Contract,Python,Small Business,2024/12/29,job posting data,2023/08/31,region search
job type data,South America,Argentina,Enterprise,2023/01/10,Tuesday,Morning (6AM-12PM),Product Management,2024/05/14,Australia,Part-Time,SQL,Enterprise,2024/05/04,assistant data,2023/03/15,job search
user data,Australia,Australia,Individual,2023/07/10,Sunday,Evening (6PM-12AM),Product Management,2024/06/20,Asia,Contract,C++,Academic,2023/02/08,job posting data,2023/11/11,category query
